Date,Year,DayOfYear,Daily_Spending_RM
2016-01-01,2016,1,91.26
2016-01-02,2016,2,35.5
2016-01-03,2016,3,36.33
2016-01-04,2016,4,106.14
2016-01-05,2016,5,19.72
2016-01-06,2016,6,37.5
2016-01-07,2016,7,29.74
2016-01-08,2016,8,23.74
2016-01-09,2016,9,21.82
2016-01-10,2016,10,76.21
2016-01-11,2016,11,33.6
2016-01-12,2016,12,107.35
2016-01-13,2016,13,35.08
2016-01-14,2016,14,98.86
2016-01-15,2016,15,34.06
2016-01-16,2016,16,38.91
2016-01-17,2016,17,49.61
2016-01-18,2016,18,73.78
2016-01-19,2016,19,95.04
2016-01-20,2016,20,100.5
2016-01-21,2016,21,29.83
2016-01-22,2016,22,30.58
2016-01-23,2016,23,40.21
2016-01-24,2016,24,39.84
2016-01-25,2016,25,74.6
2016-01-26,2016,26,37.38
2016-01-27,2016,27,36.51
2016-01-28,2016,28,31.53
2016-01-29,2016,29,33.79
2016-01-30,2016,30,104.27
2016-01-31,2016,31,47.03
2016-02-01,2016,32,36.79
2016-02-02,2016,33,33.31
2016-02-03,2016,34,37.88
2016-02-04,2016,35,76.25
2016-02-05,2016,36,109.36
2016-02-06,2016,37,97.22
2016-02-07,2016,38,48.02
2016-02-08,2016,39,112.71
2016-02-09,2016,40,117.82
2016-02-10,2016,41,24.79
2016-02-11,2016,42,106.52
2016-02-12,2016,43,21.1
2016-02-13,2016,44,44.62
2016-02-14,2016,45,59.09
2016-02-15,2016,46,41.05
2016-02-16,2016,47,86.23
2016-02-17,2016,48,32.42
2016-02-18,2016,49,123.27
2016-02-19,2016,50,118.36
2016-02-20,2016,51,29.46
2016-02-21,2016,52,53.45
2016-02-22,2016,53,42.89
2016-02-23,2016,54,101.37
2016-02-24,2016,55,88.11
2016-02-25,2016,56,29.95
2016-02-26,2016,57,27.96
2016-02-27,2016,58,123.54
2016-02-28,2016,59,131.12
2016-02-29,2016,60,79.25
2016-03-01,2016,61,116.2
2016-03-02,2016,62,109.3
2016-03-03,2016,63,51.69
2016-03-04,2016,64,27.66
2016-03-05,2016,65,90.45
2016-03-06,2016,66,44.18
2016-03-07,2016,67,39.33
2016-03-08,2016,68,23.74
2016-03-09,2016,69,47.47
2016-03-10,2016,70,35.36
2016-03-11,2016,71,97.59
2016-03-12,2016,72,48.2
2016-03-13,2016,73,45.33
2016-03-14,2016,74,60.44
2016-03-15,2016,75,91.03
2016-03-16,2016,76,39.53
2016-03-17,2016,77,29.84
2016-03-18,2016,78,31.23
2016-03-19,2016,79,50.76
2016-03-20,2016,80,90.81
2016-03-21,2016,81,110.42
